TF,Total genes regulados,Total genes activados,Total genes reprimidos,Total genes duales,Tipo de regulacion,Genes regulados
LldR,11,8,0,3,Activator,"['fadL', 'lldP', 'lldR', 'lldD', 'gadW', 'gadY', 'fadE', 'yfdY', 'lpxP', 'glcD', 'yhcO']"
AsnC,4,1,3,0,Dual,"['asnA', 'asnC', 'mnmG', 'mioC']"
LysR,2,1,1,0,Dual,"['lysA', 'lysR']"
AscG,5,0,5,0,Repressor,"['ascB', 'ascF', 'htpG', 'prpR', 'ybiT']"
DpiA,11,10,1,0,Dual,"['appY', 'mdh', 'exuT', 'citG', 'citX', 'citF', 'citE', 'citD', 'citC', 'dpiB', 'dpiA']"
Nac,557,162,367,28,Dual,"['ispB', 'aceB', 'ackA', 'amn', 'ampD', 'cysQ', 'ansB', 'araE', 'araF', 'aroD', 'aroE', 'aroF', 'asnA', 'asnC', 'bfr', 'bglB', 'bisC', 'cheA', 'moeA', 'cpdB', 'cydA', 'cynT', 'cysJ', 'cysS', 'dapB', 'dcm', 'dcp', 'ddlA', 'deoR', 'dld', 'dnaA', 'mltD', 'dppA', 'acrE', 'fepE', 'fliC', 'fucA', 'gabT', 'gdhA', 'mnmG', 'glpK', 'gltA', 'gltB', 'gltD', 'gltP', 'gor', 'hemB', 'hemH', 'hfq', 'htpG', 'htpX', 'hupA', 'icd', 'ilvN', 'infA', 'intD', 'katG', 'kbl', 'kdsA', 'lepA', 'lepB', 'leuO', 'livH', 'livK', 'livM', 'lrp', 'lysA', 'lysR', 'lysU', 'malI', 'malY', 'map', 'mcrB', 'metE', 'metR', 'mglA', 'mglB', 'groS', 'mreC', 'nanA', 'narK', 'narX', 'nusA', 'nusB', 'ompA', 'ompF', 'ompR', 'ompT', 'oppA', 'oppC', 'osmB', 'pfkB', 'phoB', 'pstS', 'pldA', 'pntA', 'pntB', 'polA', 'ppc', 'ppiB', 'pstC', 'ptrA', 'pyrB', 'rcsA', 'rep', 'rfaH', 'fliD', 'rpmH', 'rpoZ', 'sdaA', 'sdhA', 'sdhB', 'sdhC', 'sdhD', 'sdiA', 'serA', 'gmk', 'srlR', 'sucA', 'tdcA', 'tdcR', 'thrS', 'tnaA', 'tnaB', 'tolB', 'trxB', 'uhpA', 'sbcD', 'yajD', 'ybgC', 'uvrY', 'xapR', 'ppdC', 'ygdB', 'argO', 'yhaB', 'rimP', 'mscL', 'bfd', 'mioC', 'ydiB', 'pdeL', 'ycaC', 'ycaD', 'chpS', 'ychA', 'iraP', 'yifB', 'ilvL', 'tnaC', 'pyrL', 'leuL', 'wzzE', 'dsbA', 'codA', 'codB', 'gabD', 'gabP', 'ligB', 'lysP', 'waaG', 'mdtG', 'gspO', 'amiB', 'bglH', 'ubiA', 'ahpC', 'uspA', 'osmY', 'dadA', 'glnD', 'cynR', 'msrA', 'marR', 'gcvT', 'yigI', 'yigL', 'pabC', 'holE', 'gltF', 'yhcA', 'ycgB', 'ybfC', 'cfa', 'ibpA', 'wrbA', 'gadE', 'nadC', 'greB', 'moaB', 'ygiF', 'evgA', 'eptA', 'eamA', 'ydeE', 'yafC', 'yafD', 'yafE', 'moaC', 'yadC', 'yicJ', 'nudC', 'yidQ', 'yieE', 'yieH', 'cbrB', 'cbrC', 'yieP', 'phoH', 'rsd', 'nfrB', 'ybbC', 'gmd', 'fcl', 'cmtB', 'cmtA', 'rlmM', 'hofC', 'torA', 'mobA', 'yihD', 'hemN', 'yihL', 'yihO', 'yihQ', 'yiiE', 'yiiF', 'fdoG', 'fdhD', 'yijO', 'yjaH', 'yjbB', 'yjbQ', 'yjcB', 'pdeC', 'yjcF', 'nrfF', 'nrfG', 'yjcO', 'nupC', 'htrE', 'rfbC', 'yehE', 'bglX', 'yeiH', 'yejB', 'yejG', 'lapC', 'ccmH', 'ccmB', 'ccmA', 'napC', 'napB', 'secG', 'yeiE', 'prfC', 'rhtA', 'nlpE', 'yaeF', 'cobT', 'gspM', 'ygaC', 'cspC', 'waaF', 'yhhQ', 'yhiJ', 'mdtE', 'mdtF', 'gadX', 'yhjD', 'yhjE', 'yiaD', 'wecH', 'yadM', 'cdaR', 'yfaE', 'ygiL', 'ppnN', 'yecD', 'yecE', 'glaR', 'lhgD', 'ybgE', 'iaaA', 'rfbB', 'gatA', 'gatB', 'gatC', 'gatD', 'tomB', 'ygiM', 'yfiL', 'prmB', 'yjeM', 'cycA', 'ybaL', 'dppB', 'dppC', 'dppD', 'dppF', 'ygiN', 'lpxH', 'ycaK', 'ygjI', 'exuT', 'kbaY', 'yecF', 'pitB', 'cobU', 'argU', 'asnT', 'asnV', 'leuU', 'metY', 'selC', 'spf', 'rplU', 'yohO', 'yciZ', 'sibE', 'shoB', 'ecnA', 'sibA', 'mgtS', 'tff', 'micC', 'yoeB', 'ecnB', 'torI', 'nanT', 'caiF', 'yafV', 'ivy', 'dpaA', 'yafQ', 'dinJ', 'yafN', 'yafO', 'yagU', 'ykgL', 'ykgE', 'ykgH', 'yaiS', 'tauA', 'yaiY', 'yaiZ', 'thiL', 'yajO', 'allR', 'allW', 'glxK', 'ybcK', 'borD', 'ybcV', 'ybdK', 'dsbG', 'uspG', 'ybdR', 'nadD', 'ybeQ', 'ybeR', 'ybeT', 'ybeU', 'ybhD', 'ybhH', 'ybhI', 'ybhM', 'mcbA', 'rlmF', 'ybjP', 'ybjQ', 'ybjX', 'macA', 'ycaN', 'ssuE', 'elfA', 'elfG', 'yccM', 'rutB', 'pgaA', 'dgcT', 'bssS', 'rluE', 'ycgX', 'ycgJ', 'dhaK', 'dhaR', 'ycgV', 'ymjA', 'abgA', 'abgR', 'ydaT', 'ydaU', 'ynaK', 'stfR', 'tfaR', 'pinR', 'ompN', 'feaR', 'ydcI', 'ydcS', 'ydcT', 'ydcU', 'ydcV', 'patD', 'ortT', 'ydcY', 'ydcZ', 'curA', 'ansP', 'ddpC', 'ydeP', 'ydeQ', 'yneK', 'ydfK', 'pinQ', 'tfaQ', 'ydfR', 'ynfA', 'ynfB', 'ynfD', 'ynfE', 'ynfF', 'ynfG', 'bidA', 'ydgH', 'fumD', 'ydiL', 'ydiM', 'ydiO', 'ydiP', 'rflP', 'ydiY', 'yniB', 'hxpB', 'cho', 'ynjF', 'nudG', 'ynjH', 'yobF', 'kdgR', 'yebQ', 'rsmF', 'yebZ', 'yobA', 'yobB', 'znuA', 'uspC', 'ftnB', 'dcyD', 'yedL', 'hchA', 'hprR', 'mtfA', 'shiA', 'nac', 'yeeZ', 'ugd', 'wcaF', 'wcaE', 'wzc', 'wzb', 'wza', 'yegH', 'yegL', 'yegR', 'yfbK', 'yfbL', 'yfbV', 'yfcO', 'yfcP', 'emrK', 'yfdE', 'yfdV', 'alaC', 'mntH', 'pdxK', 'yfeK', 'yfeS', 'eutS', 'pdeF', 'yfgG', 'yfgH', 'csiE', 'hcaR', 'yfhL', 'yfiR', 'yfjI', 'abpA', 'rnlB', 'ileY', 'glaH', 'ygaV', 'ygaP', 'ygaM', 'ygaZ', 'pphB', 'ispD', 'queD', 'ygcO', 'ygcP', 'ygcS', 'ygcE', 'gudX', 'queF', 'ygdR', 'kduI', 'yqeH', 'yqeJ', 'yqeK', 'ygeG', 'xdhA', 'yqeB', 'scpB', 'srsR', 'yggP', 'yghG', 'glcA', 'yghS', 'yghT', 'dkgA', 'ygiZ', 'ygjH', 'yhaI', 'yraH', 'ubiT', 'ubiU', 'yhbX', 'yhcC', 'yhcD', 'nanK', 'yhdV', 'gspG', 'gspH', 'yhfL', 'yhfZ', 'yhhZ', 'yrhB', 'insK', 'yjeH', 'yjeJ', 'blc', 'yjfZ', 'ytfB', 'fklB', 'ytfJ', 'ytfK', 'ytfP', 'yjgH', 'yjgM', 'yjgN', 'yjhI', 'fhuF', 'feaB', 'nrdG', 'uxaC', 'hcaE']"
IscR,33,11,22,0,Dual,"['hyaA', 'hyaB', 'hyaC', 'hyaD', 'hyaE', 'hyaF', 'sufA', 'napC', 'napB', 'napH', 'napG', 'napA', 'napF', 'iscA', 'napD', 'erpA', 'nrdF', 'nrdE', 'torT', 'sufE', 'sufS', 'sufD', 'sufC', 'sufB', 'selO', 'iscU', 'iscS', 'iscR', 'rnlA', 'rnlB', 'nrdH', 'nrdI', 'nfuA']"
YgbI,2,0,2,0,Repressor,"['ygbJ', 'ygbK']"
RacR,6,0,6,0,Repressor,"['ydaS', 'ydaT', 'ydaU', 'ydaV', 'ydaW', 'rzpR']"
CusR,14,14,0,0,Activator,"['cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'cusA', 'cusS', 'cusR', 'cusC', 'cusF', 'cusB', 'hiuH', 'msrP', 'msrQ']"
MalI,3,0,3,0,Repressor,"['malI', 'malX', 'malY']"
Lrp,368,130,180,58,Dual,"['cydC', 'aceB', 'adhE', 'alaS', 'ansB', 'arcB', 'argA', 'argR', 'argS', 'argT', 'aroA', 'aroG', 'asnA', 'asnB', 'aspA', 'aspC', 'aspS', 'atpA', 'atpH', 'avtA', 'btuE', 'cadA', 'cadB', 'clpP', 'cysB', 'deaD', 'dedA', 'deoB', 'dppA', 'eco', 'eno', 'exbB', 'fadL', 'fimA', 'fimC', 'fimD', 'fimE', 'fimF', 'fimG', 'fimH', 'frdA', 'frdB', 'ftsQ', 'fumA', 'gabT', 'gcvH', 'gdhA', 'glgC', 'glnA', 'glnH', 'glnL', 'glnQ', 'gltB', 'gltD', 'gltP', 'gpt', 'lpxL', 'ilvA', 'ilvD', 'ilvE', 'ilvH', 'ilvI', 'ilvM', 'katE', 'kbl', 'leuO', 'livF', 'livG', 'livH', 'livJ', 'livK', 'livM', 'lrp', 'lysU', 'malT', 'manA', 'metH', 'metK', 'groL', 'groS', 'msbA', 'mtr', 'mutY', 'nusB', 'ompC', 'ompT', 'oppA', 'oppB', 'oppC', 'oppD', 'oppF', 'osmC', 'pabB', 'pal', 'pepD', 'phoA', 'pncB', 'pntA', 'polA', 'ppsA', 'purM', 'pyrI', 'relA', 'rplF', 'rplR', 'rpoN', 'rpsH', 'sdaA', 'serA', 'serB', 'serC', 'serS', 'ytjB', 'prlF', 'soxS', 'sulA', 'tdh', 'topA', 'treA', 'trxB', 'tyrP', 'tyrR', 'ybgA', 'trhO', 'yceB', 'yfiB', 'fau', 'argO', 'mscS', 'yhhA', 'rdcA', 'creA', 'leuA', 'uspE', 'iraP', 'rnr', 'ilvL', 'thrL', 'leuL', 'lipA', 'ribE', 'gabD', 'gabP', 'upp', 'lysP', 'ychE', 'mnmA', 'fliA', 'ubiA', 'osmY', 'hdeA', 'hdeB', 'yhiD', 'ppx', 'dadA', 'dadX', 'sthA', 'gcvT', 'rpiA', 'wecB', 'rhtB', 'gadB', 'rlmE', 'ppk', 'gltF', 'ycgB', 'ibpA', 'ibpB', 'stpA', 'thiC', 'proP', 'artP', 'artI', 'potF', 'ydeE', 'dgcZ', 'slyX', 'hpf', 'ptsN', 'yicH', 'emrD', 'phoH', 'rsd', 'yebF', 'purT', 'gcvP', 'aidB', 'rpiB', 'yiiM', 'menA', 'tsuA', 'yjbJ', 'pspG', 'aphA', 'yjbQ', 'yjbR', 'yibL', 'zntR', 'yhdN', 'htrE', 'fimI', 'yehL', 'yeiL', 'radD', 'napF', 'mqo', 'yojI', 'nuoA', 'lrhA', 'sdaC', 'brnQ', 'glnK', 'chbG', 'panZ', 'yhiM', 'dtpB', 'gadW', 'yhjE', 'bipP', 'yhjR', 'eptB', 'can', 'rseA', 'lhgD', 'ybiI', 'ybiJ', 'modA', 'ycfJ', 'yjeM', 'cycA', 'yacL', 'yabQ', 'yiaG', 'sstT', 'yhbY', 'yhdW', 'cpoB', 'yciN', 'alaT', 'alaU', 'alaV', 'gltT', 'gltU', 'gltV', 'gltW', 'ileT', 'ileU', 'ileV', 'metT', 'micF', 'rrfA', 'rrfB', 'rrfC', 'rrfD', 'rrfE', 'rrfG', 'rrfH', 'rrlA', 'rrlB', 'rrlC', 'rrlD', 'rrlE', 'rrlG', 'rrlH', 'rrsA', 'rrsB', 'rrsC', 'rrsD', 'rrsE', 'rrsG', 'rrsH', 'rrfF', 'ssrS', 'thrV', 'yibT', 'yciZ', 'ilvX', 'yoeG', 'fimR2', 'gadY', 'sroH', 'ldhA', 'yaaX', 'yaeQ', 'yagU', 'ykgE', 'yaiY', 'mscK', 'borD', 'ybdG', 'ybdF', 'ybdL', 'insH3', 'ybeX', 'zitB', 'ybgS', 'acrZ', 'pgl', 'ybhQ', 'ybiO', 'ybiT', 'ybjN', 'ybjS', 'ybjX', 'clpS', 'lolA', 'ycaM', 'hspQ', 'bssS', 'lolC', 'hlyE', 'dhaK', 'yciT', 'dgcM', 'ydcK', 'ydcL', 'ydeN', 'sad', 'ydgH', 'dtpA', 'slyA', 'ydhQ', 'astC', 'ynjH', 'yeaE', 'yeaG', 'dgcJ', 'leuE', 'yoaH', 'dgcQ', 'yodC', 'cbl', 'nac', 'yfaP', 'alaA', 'yfcC', 'fadI', 'yfcZ', 'zipA', 'intZ', 'csiE', 'glaH', 'alaE', 'amiC', 'yqeF', 'yqeG', 'glcA', 'ygiV', 'ygiW', 'qseB', 'insC5', 'aer', 'patA', 'yhcN', 'yhdV', 'yzgL', 'yhhW', 'fxsA', 'yjeH', 'yjfP', 'ytfB', 'ytfJ', 'ytfK', 'ridA', 'yjiC', 'iraD', 'yjiL', 'ilvG']"
BaeR,9,9,0,0,Activator,"['acrD', 'ycaC', 'baeS', 'baeR', 'mdtD', 'spy', 'mdtA', 'mdtB', 'mdtC']"
FrlR,5,0,5,0,Repressor,"['frlA', 'frlB', 'frlC', 'frlD', 'frlR']"
YgaV,4,4,0,0,Activator,"['cirA', 'fhuE', 'nfeF', 'fhuF']"
GalS,10,0,6,4,Repressor,"['galE', 'galK', 'galR', 'galS', 'galT', 'mglA', 'mglB', 'mglC', 'galM', 'galP']"
ExuR,10,0,10,0,Repressor,"['uxaB', 'uxuA', 'uxaA', 'exuT', 'exuR', 'uxuB', 'uxuR', 'lgoR', 'lgoD', 'uxaC']"
TrpR,12,0,12,0,Repressor,"['aroH', 'aroL', 'aroM', 'mtr', 'trpA', 'trpB', 'trpC', 'trpD', 'trpE', 'trpR', 'yaiA', 'trpL']"
EnvR,2,0,2,0,Repressor,"['acrA', 'acrB']"
HprR,14,9,5,0,Dual,"['cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'cusA', 'cusS', 'cusR', 'cusC', 'cusF', 'cusB', 'hiuH', 'msrP', 'msrQ']"
XapR,2,2,0,0,Activator,"['xapB', 'xapA']"
YhaJ,8,8,0,0,Activator,"['ygiD', 'ybiJ', 'bssS', 'yqjF', 'yhaJ', 'yhaK', 'yhaL', 'yhhW']"
HU,9,1,8,0,Dual,"['galE', 'galK', 'galT', 'mtr', 'tyrP', 'galM', 'pgm', 'seqA', 'micF']"
RhaR,2,2,0,0,Activator,"['rhaR', 'rhaS']"
DgoR,5,0,5,0,Repressor,"['dgoA', 'dgoK', 'dgoT', 'dgoR', 'dgoD']"
DcuR,13,13,0,0,Activator,"['dcuB', 'aspA', 'frdA', 'frdB', 'frdC', 'frdD', 'fumB', 'pck', 'dcuA', 'dctA', 'aspX', 'dpiB', 'dpiA']"
ZntR,3,0,2,1,Repressor,"['rsd', 'zntA', 'rmf']"
Rob,53,40,12,0,Dual,"['aldA', 'aslB', 'dapD', 'lpxC', 'fadA', 'fadB', 'fadL', 'fumC', 'lpxL', 'map', 'narG', 'nfo', 'rimK', 'sodA', 'tolC', 'ygiB', 'ygiC', 'zwf', 'nfsA', 'acnA', 'rob', 'mltF', 'glgS', 'glnD', 'inaA', 'waaY', 'waaZ', 'marA', 'marR', 'acs', 'fadD', 'marB', 'acrA', 'acrB', 'actP', 'yjcH', 'mdtD', 'yacH', 'chaC', 'yiaG', 'mdaB', 'ybjC', 'micF', 'nfsB', 'acrZ', 'ldtB', 'ybiT', 'ybjN', 'ydcL', 'astC', 'elaB', 'yhbO', 'yhbW']"
XylR,9,8,1,0,Dual,"['araC', 'xylA', 'xylB', 'xylE', 'xylG', 'xylH', 'xylF', 'xylR', 'xylZ']"
GadE,34,34,0,0,Activator,"['cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'lpxD', 'fliC', 'gltB', 'gltD', 'gnd', 'skp', 'lpxA', 'lrp', 'purA', 'rcsA', 'fabZ', 'hdeA', 'hdeB', 'yhiD', 'gadB', 'hdeD', 'gltF', 'gadE', 'yjbQ', 'yjbR', 'yhiM', 'mdtE', 'mdtF', 'gadW', 'gadX', 'gadF', 'gndA', 'fliX', 'gadC']"
Fur,282,77,192,11,Dual,"['garL', 'adk', 'ansB', 'araB', 'araF', 'argF', 'argG', 'argR', 'aspC', 'bfr', 'cadC', 'cirA', 'cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'dapB', 'dmsA', 'dmsB', 'dmsC', 'entA', 'entB', 'entC', 'entD', 'entE', 'entF', 'exbB', 'exbD', 'fecA', 'fecB', 'fecC', 'fecD', 'fecE', 'fecI', 'fecR', 'fepA', 'fepB', 'fepC', 'fepD', 'fepE', 'fepG', 'fes', 'fhuA', 'fhuB', 'fhuC', 'fhuD', 'fhuE', 'flhC', 'flhD', 'fnr', 'fumB', 'fumC', 'fur', 'gdhA', 'glnG', 'glnL', 'glpF', 'glpK', 'gltB', 'gltD', 'gnd', 'hmp', 'katE', 'rpoS', 'katG', 'lpd', 'manX', 'manY', 'manZ', 'map', 'mdh', 'metH', 'metJ', 'mglB', 'ndh', 'nth', 'ompF', 'oppA', 'oppB', 'oppC', 'oppD', 'oppF', 'pstB', 'purL', 'purR', 'pyrC', 'recN', 'rimK', 'ftnA', 'sdhA', 'sdhB', 'sdhC', 'sdhD', 'sdiA', 'serS', 'sodA', 'soxR', 'soxS', 'sucA', 'sucB', 'sucC', 'sucD', 'sulA', 'tonB', 'tsx', 'udp', 'ugpA', 'ugpB', 'ugpE', 'uxaB', 'uxuA', 'entS', 'entH', 'ompW', 'garK', 'garR', 'bfd', 'zwf', 'acnA', 'lysP', 'gspO', 'sufA', 'glnD', 'waaL', 'narQ', 'rmuC', 'qorA', 'gltF', 'flgL', 'leuD', 'moaA', 'sseB', 'yciI', 'nohA', 'eamA', 'gpmA', 'mdtL', 'phoH', 'efeB', 'rsd', 'yddA', 'yddB', 'grcA', 'amtB', 'yihN', 'yihX', 'zapB', 'pepE', 'yjbJ', 'actP', 'yjcH', 'yejG', 'mqo', 'yojI', 'feoA', 'feoB', 'ydcF', 'hscA', 'punC', 'narU', 'gspM', 'glnK', 'ygaC', 'yhjE', 'erpA', 'tcyN', 'nrdF', 'ydiE', 'dppB', 'dppC', 'dppD', 'dppF', 'grxB', 'garP', 'ybaN', 'feoC', 'uxuB', 'nrdE', 'rnpB', 'rmf', 'ybdZ', 'yjjZ', 'mntS', 'esrE', 'gndA', 'sdhX', 'ryhB', 'tisB', 'dinB', 'xynR', 'tauA', 'tauB', 'tauC', 'cusC', 'b0725', 'ybiX', 'fiu', 'mcbA', 'ybiU', 'rimO', 'bssR', 'efeU', 'efeO', 'ycgZ', 'ycgR', 'paaA', 'paaB', 'paaC', 'paaD', 'paaE', 'paaF', 'paaG', 'paaH', 'paaI', 'paaJ', 'paaK', 'ortT', 'pqqU', 'yncE', 'adhP', 'ydeN', 'tfaQ', 'stfQ', 'ynfD', 'tqsA', 'rsxA', 'rsxB', 'rsxC', 'rsxD', 'rsxG', 'rsxE', 'sufE', 'sufS', 'sufD', 'sufC', 'sufB', 'selO', 'yobD', 'mntP', 'ftnB', 'zinT', 'nac', 'yoeA', 'rcnA', 'rcnB', 'yfcV', 'mntH', 'maeB', 'pdeF', 'hcaR', 'nrdH', 'nrdI', 'yqeB', 'yqeC', 'mocA', 'yghF', 'hybO', 'yghW', 'gpr', 'yqhD', 'dkgA', 'nfeF', 'nfeR', 'yrbL', 'yhcC', 'gspC', 'gspD', 'gspE', 'gspF', 'gspG', 'gspH', 'gspI', 'gspJ', 'gspK', 'gspL', 'yhhY', 'yjiR', 'yjiT', 'bglJ', 'fhuF', 'uxaC']"
MntR,5,1,4,0,Dual,"['dps', 'mntS', 'rybA', 'mntP', 'mntH']"
PepA,3,0,3,0,Repressor,"['carA', 'carB', 'pepA']"
SoxR,8,7,1,0,Dual,"['aroF', 'fumC', 'sodA', 'soxR', 'soxS', 'tyrA', 'yjcB', 'yrbL']"
ArcA,238,72,154,12,Dual,"['dcuB', 'cydC', 'aceA', 'aceB', 'aceE', 'aceF', 'aceK', 'ackA', 'aldA', 'puuC', 'appA', 'appY', 'arcA', 'argR', 'argT', 'betA', 'betB', 'betI', 'betT', 'cadA', 'cadB', 'carA', 'moeA', 'moeB', 'cydA', 'cydB', 'cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'dppA', 'fadA', 'fadB', 'fadL', 'fnr', 'fumA', 'fumB', 'fumC', 'glpA', 'glpB', 'glpC', 'glpD', 'glpE', 'gltA', 'hemA', 'hyaA', 'hyaB', 'hyaC', 'hyaD', 'hyaE', 'hyaF', 'icd', 'rpoS', 'kdpA', 'kgtP', 'lpd', 'manA', 'mdh', 'ndh', 'ndk', 'oppA', 'oppB', 'oppC', 'oppD', 'oppF', 'pepN', 'pflB', 'pldA', 'pncB', 'pntA', 'prfA', 'ptsG', 'putA', 'putP', 'rho', 'rplB', 'rplC', 'rplD', 'rplP', 'rplV', 'rplW', 'rpmC', 'rpsC', 'rpsJ', 'rpsQ', 'rpsS', 'sdhA', 'sdhB', 'sdhC', 'sdhD', 'sodA', 'ssb', 'sucA', 'sucB', 'sucC', 'sucD', 'thrA', 'uvrA', 'xthA', 'ompW', 'dcuA', 'focA', 'rhaT', 'acnA', 'ubiC', 'ubiA', 'folE', 'appB', 'appC', 'osmY', 'dsbB', 'treC', 'cydD', 'sthA', 'yigI', 'ybfA', 'fadD', 'gadE', 'caiD', 'caiC', 'caiB', 'caiA', 'caiT', 'thiC', 'potF', 'ydeA', 'yieE', 'phoH', 'rsd', 'nuoM', 'nuoF', 'grcA', 'yfiF', 'hybA', 'hybB', 'hybC', 'hybD', 'hybE', 'hybF', 'hybG', 'puuB', 'lldP', 'lldR', 'lldD', 'nupC', 'yeiQ', 'yejG', 'mqo', 'nuoA', 'nuoB', 'nuoC', 'nuoE', 'nuoG', 'nuoH', 'nuoI', 'nuoJ', 'nuoK', 'nuoL', 'nuoN', 'feoA', 'treB', 'gadX', 'yhjE', 'acnB', 'msrB', 'gatA', 'gatB', 'gatC', 'gatD', 'gatY', 'prmC', 'puuR', 'cycA', 'caiE', 'sstT', 'dctA', 'glcB', 'xylR', 'micF', 'acpP', 'rmf', 'gadA', 'appX', 'gadF', 'ymjE', 'sdhX', 'glcF', 'gcvB', 'arcZ', 'sroD', 'fadH', 'fadE', 'ybdN', 'citG', 'citX', 'citF', 'citE', 'citD', 'citC', 'dpiB', 'dpiA', 'dcuC', 'b0725', 'ybiU', 'rutG', 'rutF', 'rutE', 'rutD', 'rutC', 'rutB', 'rutA', 'iraM', 'puuP', 'puuA', 'puuD', 'puuE', 'tpx', 'ynaJ', 'pqqU', 'yncE', 'ydgC', 'rstA', 'gatZ', 'fadJ', 'fadI', 'pyrS', 'glaH', 'glcA', 'glcG', 'glcE', 'glcD', 'glcC', 'hybO', 'nudE', 'igaA', 'yhgE', 'yjiR']"
PhoB,65,52,8,5,Dual,"['agp', 'amn', 'eda', 'cra', 'argP', 'ompF', 'phnC', 'phnD', 'phnF', 'phnG', 'phnH', 'phnI', 'phnJ', 'phnK', 'phnL', 'phnM', 'phnN', 'phnO', 'phnP', 'phoA', 'phoB', 'phoE', 'phoQ', 'phoR', 'pstS', 'phoU', 'pstA', 'pstB', 'pstC', 'sbcC', 'ugpA', 'ugpB', 'ugpC', 'ugpE', 'ugpQ', 'sbcD', 'psiE', 'waaH', 'phnE1', 'psiF', 'phoH', 'tktB', 'gadW', 'gadX', 'rcdB', 'cusA', 'adiC', 'pitB', 'yibT', 'prpR', 'cusS', 'cusR', 'cusC', 'cusF', 'cusB', 'feaR', 'rspR', 'asr', 'mipA', 'yoaI', 'hiuH', 'msrP', 'msrQ', 'yegH', 'ytfK']"
AlpA,3,1,2,0,Dual,"['phoB', 'phoR', 'intA']"
PgrR,9,0,9,0,Repressor,"['tyrR', 'ycjF', 'ymjC', 'ymjD', 'ycjX', 'ycjG', 'mpaA', 'ycjY', 'mppA']"
PlaR,14,0,14,0,Repressor,"['eda', 'glpA', 'glpT', 'plaR', 'yiaK', 'yiaL', 'yiaM', 'yiaN', 'yiaO', 'lyxK', 'sgbH', 'sgbU', 'sgbE', 'ygjV']"
BasR,26,24,2,0,Dual,"['dgkA', 'fimB', 'glpA', 'glpB', 'glpC', 'hha', 'putA', 'waaH', 'eptA', 'emrD', 'tomB', 'qseC', 'arnE', 'csgG', 'csgF', 'csgE', 'csgD', 'cspI', 'arnB', 'arnC', 'arnA', 'arnD', 'arnT', 'arnF', 'qseB', 'yrbL']"
YeiE,15,4,11,0,Dual,"['cysJ', 'infA', 'pflB', 'putA', 'argO', 'gltF', 'ftp', 'mdtF', 'yibQ', 'dcuC', 'ssuA', 'uspF', 'ydcT', 'sodC', 'yoaC']"
